Zone,Circle_Name,Division_Name,SubStation_Name,Feeder_Name,newMeterNumber,3/1/2026,3/2/2026,3/3/2026,3/4/2026,3/5/2026,3/6/2026,3/7/2026,3/8/2026,3/9/2026,3/10/2026,3/11/2026,3/12/2026,3/13/2026,3/14/2026,3/15/2026,3/16/2026,3/17/2026,3/18/2026,3/19/2026,3/20/2026,3/21/2026,3/22/2026,3/23/2026,3/24/2026,3/25/2026,3/26/2026,3/27/2026,3/28/2026,3/29/2026,3/30/2026,3/31/2026,4/1/2026,4/2/2026,4/3/2026,4/4/2026,4/5/2026,4/6/2026,4/7/2026,4/8/2026,4/9/2026,4/10/2026,4/11/2026,4/12/2026,4/13/2026,4/14/2026,Avg_Duration_Per_Day
VARANASI,EUDC II VARANASI,"EUDD RAJGHAT, VARANASI",132/33/11 KV IDH COLONY,TELIYANA,HP9000717,24,24,24,24,24,23.5,24,24,24,24,null,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,null,23.5,24,24,24,24,24,24,24,24,24,23.96511628
VARANASI,EDC GHAZIPUR,EDD ZAMANIA,33/11 KV DEVARI,RAMPUR FUFUWAV,HP9000754,22,21,19.5,21,24,18.5,19.5,21,20,23.5,22.5,21,20.5,20,21,21,19.5,18.5,19.5,20,18.5,19.5,22.5,20,20,16.5,19.5,20,18,20.5,19.5,20,18,16,null,null,15,14.5,14,16,14,14,11,12.5,12.5,18.73255814
MIRZAPUR,EDC BHADOHI,EDD I BHADOHI,33/11 KV CARPET CITY,II CITY,SC10292580,22.5,21.5,22,23.5,24,23,22.5,22.5,22.5,null,22,22,23,22.5,22.5,23,22.5,22,23,22.5,21.5,24,23,22.5,22.5,22.5,22.5,22.5,22.5,23,22.5,22.5,21,22.5,21,22.5,23,23,22.5,23,23,23,22.5,23,22.5,22.56818182
MIRZAPUR,EDC-MIRZAPUR,EDD CHUNAR,33/11 KV Golhanpur,Bargawa,SC10292597,20,19,18,18.5,24,null,18.5,18.5,18,19,20,19.5,20,19,null,19,19.5,19.5,19,19,17,15,19,19,19,18.5,19,17.5,17,19.5,19,19,20,19,19,19,19.5,19,18.5,19,19,18.5,19,19,19,18.93023256
PRAYAGRAJ,EDC PRATAPGARH,"EDD KUNDA,PRATAPGARH",33/11 KV SANGRAMGARH,LAWANA,SC10292622,23.5,21.5,18.5,20.5,24,19.5,19.5,null,19.5,21,18.5,22,19.5,20.5,null,21.5,21,20,20.5,20,17,15.5,23,21,17,20,18.5,12,16,20.5,19.5,16,10.5,17.5,18,15.5,14,20,18,16.5,21,12.5,14.5,20.5,null,18.70238095
PRAYAGRAJ,EDC PRATAPGARH,"EDD KUNDA,PRATAPGARH",33/11 KV SARAI BHIMSEN,LAXMIGANJ,SC10292665,20.5,20,20,19.5,24,20,19.5,22.5,21,24,22,21.5,18.5,21.5,20.5,21,20.5,19.5,22,19.5,19,23,23,19.5,20.5,19.5,19.5,19.5,19,20.5,19.5,19,18,20.5,17.5,18,19,21.5,21,20.5,22,16.5,13,23,16,20.12222222
PRAYAGRAJ,EDC FATEHPUR,EDD FATEHPUR,33/11 KV SATHARIYAON,SAHILI,SC10292735,23,19.5,19,19,24,20.5,13.5,18.5,20,21.5,22,21,20,20,19,21.5,18.5,20,21.5,19,13,13.5,20.5,19.5,19.5,19.5,19.5,17,18.5,19.5,18.5,19,7,17.5,18,16.5,11,13.5,17.5,17,20.5,15,15,17,17,18.24444444
PRAYAGRAJ,EDC FATEHPUR,EDD FATEHPUR,33/11 KV SHAH,SHAMDABAAD,SC10292738,23,19.5,19,18.5,24,19.5,19.5,18.5,18.5,22.5,22.5,23.5,21,20,21.5,22.5,19.5,null,20.5,17,15.5,10,18.5,17.5,19,14.5,19.5,15,14.5,14.5,16.5,16,11.5,16,14.5,7,15,20.5,15,11,16,15,12.5,14.5,17,17.43181818
PRAYAGRAJ,EDC II PRAYAGRAJ,"EDD GANGAPAR,PRAYAGRAJ",33/11 KV SIKANDRA,KALAYANPUR,SC10349515,null,null,null,null,24,19.5,19,23.5,19.5,22.5,23.5,24,23.5,null,null,null,null,18,19.5,19.5,19,23,22.5,20.5,19.5,20.5,19,19,19,20.5,19.5,18.5,13.5,16,20,17,15.5,22,20.5,21,21.5,20,16,18.5,18,19.89189189
PRAYAGRAJ,EDC II PRAYAGRAJ,"EDD GANGAPAR,PRAYAGRAJ",33/11 KV HETAPATTI,PAIGAMBERPUR,SC10349537,21,21,18,22,22.5,19,18,24,18.5,22,23.5,23,21.5,20,null,21.5,20,null,19,18.5,18,18,15,16,20,19.5,20,18.5,19.5,20,18.5,19.5,13,17.5,17,18,19.5,20,19.5,20.5,20,20,17,null,null,19.45121951
PRAYAGRAJ,EDC FATEHPUR,EDD FATEHPUR,33/11 KV MURAIN TOLA FATEHPUR,HARIHAR GANJ,SC10292508,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,null,24,24,24,null,24,null,null,null,null,null,null,null,null,null,null,null,null,12.5,null,null,null,null,null,null,11.5,24,23.5,22.5,23.5,24,22.92
PRAYAGRAJ,EDC KAUSHAMBI,EDD CHAYAL,33/11 KV CHAIL TAHSIL,CHAIL TEHSIL,HP8500422,13.5,11,null,12.5,18.5,8,16,24,22,23,24,24,23.5,23,22.5,13,17,22,17.5,22.5,19,9,10,14.5,17.5,19.5,21,17,22,22.5,22.5,23,20.5,22.5,22.5,22,17,23,18.5,21.5,23,23,21,21.5,23,19.40909091
MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33/11 KV DUBEPUR,KHALIYARI,HP8500532,17,17.5,16.5,18,24,19,19,19,19.5,19,19,19.5,19,18.5,18,19,19,18,19,18.5,18.5,6.5,18.5,19,14,17.5,15,14,17,18.5,18.5,19,17.5,16.5,16,16.5,18.5,18.5,17.5,18.5,18,15,11,16.5,17,17.53333333
VARANASI,EDC GHAZIPUR,EDD SAIDPUR,33/11 KV JHOTANA,JHOTANA CAMPUS,HP9000249,0,0,0,0,0,0,0,0,0,0,null,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0.058139535
AZAMGARH,EDC BALLIA,EDD BALLIA NAGAR,33/11 KV CIVIL LINE SUBSTATION,11 KV TOWN NO-02,HP9000446,24,24,24,24,24,23.5,24,24,18.5,24,24,24,24,24,24,24,24,24,24,24,22,18.5,24,24,24,24,24,24,24,21.5,24,24,24,24,null,null,23.5,24,24,24,24,24,24,23,24,23.59302326
VARANASI,EDC II JAUNPUR,EDD SHAHGANJ,132/33/11 KV SHAHGANJ,TOWN-I,HP9000486,23,22,22.5,23.5,24,22,22.5,24,23,24,23.5,24,24,22.5,23,23.5,23,22,22.5,22.5,22,24,23.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,23,23,22.5,null,21,22.5,22.5,23,23,23,22.5,21.5,22.5,22.5,22.77272727
VARANASI,EDC GHAZIPUR,EDD ZAMANIA,132/33/11 KV ZAMANIA SUBSTATION,DARAULI,HP9000755,22,21.5,19.5,21.5,24,19,18.5,23.5,19.5,23.5,22,21,21.5,20.5,20.5,21.5,20,19,20,19.5,20,23,22,21,20.5,20,20,20.5,19.5,18.5,19.5,21,19.5,19,null,null,15.5,17.5,18,18,18,17.5,18,17,18,19.98837209
AZAMGARH,EDC BALLIA,EDD III BANSDIH,33/11 KV SALEMPUR,Garhmalpur,HP9000818,23,16,20,21,24,17.5,18.5,null,19.5,22.5,null,22.5,22.5,18.5,19,21.5,20,15.5,19,19.5,17,19.5,21.5,16,19,15,10,13.5,11,17,14.5,16,15,14,null,12.5,8,13.5,12,12,15.5,12,7.5,13.5,11.5,16.5952381
VARANASI,EDC-CHANDAULI,"EDD SAKALDIHA,CHANDAULI",33/11 KV BHUPOLI,MAA LACHHMI RICE MILL,HP9000983,14.5,16,11.5,12,17.5,17,18,13.5,13,10,11.5,7.5,17,14.5,10,20.5,20,13.5,13.5,17.5,19,14.5,19.5,18.5,19.5,18.5,14.5,null,4.5,15.5,13,13,20.5,20.5,null,8,6.5,0,0,0,0,4.5,0,0,0,12.05813953
VARANASI,EUDC II VARANASI,"EUDD RAJGHAT, VARANASI",33/11 KV KASHI,SARAIYA,HP9001092,24,24,24,24,22,16,24,24,24,24,24,23,24,24,24,24,23.5,24,23.5,24,23,18,24,24,24,24,16.5,9.5,24,24,24,24,24,24,null,23.5,23.5,24,15.5,17,24,24,15,16.5,24,22.31818182
MIRZAPUR,EDC BHADOHI,EDD I BHADOHI,33/11 KV Abholi,Neebi chaur,SC10292574,18.5,19.5,19,21,23.5,16.5,20,22,19.5,21,20,19.5,18.5,20,20.5,21,19.5,19,20,19,19.5,24,22.5,20,19.5,19.5,19.5,20,20,20.5,19,20.5,13,20.5,18,18.5,22.5,20,18.5,20,21,23.5,17.5,21.5,19.5,19.91111111
VARANASI,EDC GHAZIPUR,"EDD JANGIPUR,GHAZIPUR",33/11 KV GHAZIPUR,WEST-I,SC10293029,22.5,20,19.5,21.5,24,20,20,21,19.5,23.5,null,21.5,21.5,21,16.5,21.5,19.5,18,18.5,16.5,16,21,22.5,19,18,19.5,19.5,20,15.5,14.5,15,13.5,14.5,16.5,10,18,14.5,15.5,9,19,15.5,13,13.5,16,14,17.93181818
VARANASI,EDC GHAZIPUR,EDD GHAZIPUR NAGAR,33/11 KV KUNDESAR,BALAPUR,SC10293309,22,21,18.5,21.5,24,19,19.5,18,19.5,21.5,null,23,20.5,null,null,null,null,null,null,null,null,null,null,20.5,19.5,18.5,19.5,20,18,21.5,19.5,19.5,19.5,18,15,15,16,15,16,16,14.5,17,15,12,13,18.42647059
AZAMGARH,EDC-MAU,"EDD KOPAGANJ,MAU",33/11 KV Aailakh,Kudsar,SC10293379,24,20.5,19.5,23.5,24,19.5,19,21.5,20,23,null,23.5,24,21.5,21.5,20,15.5,20,18,20,19.5,20.5,23.5,20,20.5,19,19,17,13,19,19,18.5,17.5,14.5,14,12.5,8.5,14.5,14,15,14,13.5,13,14,14.5,18.32954545
PRAYAGRAJ,EDC I PRAYAGRAJ,EDD MEZA,33/11 KV SHUKULPUR,PAKARI SEVAR,SC10349617,24,21,20.5,21,24,21,21.5,23,22,23,23,21.5,23,21.5,21,21,21,18.5,21,21,8,23,21.5,21,20.5,20.5,20.5,20.5,21,21.5,21,21.5,19,21,18,20,23,21,19,14,21,18.5,16.5,19,17,20.46666667
PRAYAGRAJ,EDC I PRAYAGRAJ,"EDD YAMUNAPAR,PRAYAGRAJ",33/11 KV KAUHAT,KAUHAT,SC10349628,20.5,21,20.5,20.5,24,20.5,21,21,24,22,21,21,22.5,21,20.5,21,21,null,20.5,21,20.5,18,20.5,21,20.5,20.5,21,20,21,21,20.5,22,17.5,21,17.5,19.5,21.5,21,18,12,22.5,23,18,20.5,17,20.45454545
VARANASI,EDC II JAUNPUR,"EDD BADALAPUR,JAUNPUR",33/11 KV BADLAPUR TAHSIL,BADLAPUR TOWN,SC10349863,23,22,23,23.5,24,23,20,null,21,24,24,24,23.5,22.5,20,21.5,22.5,22.5,22.5,22.5,22,24,23,21.5,22.5,22.5,22.5,22,21.5,23,22.5,23,21.5,22.5,20.5,19.5,21.5,21.5,21,21.5,23,23,21,23,20,22.23863636
AZAMGARH,EDC I AZAMGARH,"EDD SAGADI,AZAMGARH",33/11 KV BILARIAGANJ,EAST,SC10293415,20,20,19,20,24,19.5,19,21,20,19.5,19.5,18.5,16.5,7,8.5,19.5,17,18.5,19.5,20,18.5,24,21,19.5,20,20.5,19.5,18,15,20,20,19,null,null,null,null,null,null,null,null,null,15,14,16.5,14,18.36111111
VARANASI,EDC II JAUNPUR,EDD SHAHGANJ,33/11 KV PILKICHHA (KHUTAHAN),NAGWA,HP9000187,null,0,null,null,null,null,null,null,null,0,null,null,null,null,null,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PRAYAGRAJ,EDC FATEHPUR,EDD KHAGA,33/11 KV PALIYA BUJURG,KOTLA,HP8500030,21.5,22.5,19,21.5,24,19.5,19.5,20,19.5,20.5,21,20,20,19.5,22,22.5,18.5,21,22,20.5,16,10.5,19,18,20,19.5,19,16,19,17,19.5,17.5,9,18,19,19,12.5,20,17,20.5,19.5,17.5,14,18,18,18.83333333
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD RAMBAGH,33/11 KV DARAGANJ,MORI,HP8500290,23,24,23.5,23.5,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,23,24,24,24,24,24,22.5,24,23.5,24,23.5,22.5,24,24,24,23.5,24,24,24,23.8
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KALYANIDEVI,33/11 KV NEW KHUSRU BAGH (IND),MLN,HP8500334,24,24,23.5,24,24,24,24,24,24,24,null,24,24,24,null,24,23.5,24,24,23.5,22,24,24,23,24,23,24,23.5,23.5,24,24,24,23.5,24,23.5,23,24,24,23.5,24,24,24,24,24,23,23.76744186
MIRZAPUR,EDC BHADOHI,EDD II GOPIGANJ,33/11 KV Lalanagar,Industries,HP8500974,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,19,24,23,24,24,24,null,24,24,24,24,24,24,23.84090909
AZAMGARH,EDC-MAU,"EDD GHOSI,MAU",33/11 KV Nadwasarai,Bhatkol,HP9000120,22.5,19.5,19.5,21.5,24,19.5,20,22.5,20,24,22,21.5,24,21.5,22.5,21,19.5,19,20,20,17.5,20.5,19,21,19.5,17,18.5,17.5,19,19,19,18.5,18.5,15.5,null,15,13,17.5,15.5,18.5,19,14.5,16.5,16.5,18,19.27272727
VARANASI,EDC VARANASI,EDD CHIRAIGAON,33/11 KV RAUNAKALA,MUNARI,HP9000502,24,24,23.5,24,24,24,10.5,24,24,24,23.5,24,24,24,23.5,23,24,24,23,24,23,20.5,24,24,24,23,23.5,19,23.5,24,23,24,21.5,24,null,23.5,22,23,22,23.5,24,22.5,23.5,24,21,23.02272727
VARANASI,EDC I JAUNPUR,"EDD KERAKAT,JAUNPUR",33/11 KV JAGDISHPUR,RAJEPUR,HP9000546,22.5,20,20,21.5,24,20,21.5,18,19.5,21.5,23.5,20.5,24,17.5,19.5,22.5,20.5,18.5,21,20.5,20.5,23,19,21.5,20,19.5,20.5,17,20.5,20,19.5,21.5,15.5,20,null,null,21.5,21.5,21.5,21.5,22,21.5,21,19,16.5,20.47674419
VARANASI,EDC I JAUNPUR,"EDD BUXA,JAUNPUR",33/11 KV NAI GANJ,MALHANI,HP9000596,24,23.5,24,23.5,24,23.5,24,23,24,24,24,24,24,24,23.5,24,24,22,22.5,24,21,21.5,23.5,22.5,24,23,24,21.5,23,24,23.5,23.5,22.5,24,null,23,20.5,24,22,23.5,23.5,21.5,23,24,22.5,23.23863636
VARANASI,EUDC II VARANASI,"EUDD MACHCHODARI, VARANASI",33/11 KV MAIDAGIN,LAHURABIR,HP9000679,24,23.5,24,24,24,24,24,24,24,24,null,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,null,23,24,24,24,24,24,24,24,24,24,23.95348837
PRAYAGRAJ,EDC PRATAPGARH,EDD RANIGANJ,33/11 KV VISHWANATHGANJ,CHHITPALGARH,SC10292661,23,21.5,20.5,19.5,24,null,18,24,19.5,23,21.5,23.5,18,21,null,22,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14.5,18.5,18,21.5,19,20.5,20.5,18.5,17.5,20.5,18.5,20.21153846
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV Hargarh,PALI,SC10292980,23.5,19.5,18.5,21,24,18.5,20,23.5,19,24,24,21,24,20.5,null,21.5,19.5,20,20.5,20,20,18.5,22,21,19,20.5,19.5,20,19,21.5,20,20.5,19,20,17.5,20,23.5,21,20.5,19.5,21.5,17.5,16.5,19,20,20.44318182
VARANASI,EUDC I VARANASI,"EUDD MADHAULI, VARANASI",33/11 KV BHIKHARIPUR,BHU,SC10293119,24,24,24,24,24,24,24,24,24,24,null,24,24,24,24,24,24,23,24,24,21.5,24,24,24,23.5,23.5,24,24,24,24,24,24,24,24,24,23.5,23.5,24,24,24,24,23,24,24,24,23.85227273
VARANASI,EDC I JAUNPUR,"EDD KERAKAT,JAUNPUR",33/11 KV DOBHI,BAJRANGNAGAR,HP9000549,22.5,20.5,19,21.5,23.5,19.5,19,22.5,19,21.5,null,22,21,21.5,20.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7.5,20.5,20.5,20,16,15.5,20.5,19,19.68181818
VARANASI,EDC II JAUNPUR,EDD SHAHGANJ,33/11 KV SONGAR,SONGAR,SC10349765,19,18.5,20,21.5,24,18.5,20,21,19.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.22222222
PRAYAGRAJ,EDC FATEHPUR,EDD KHAGA,33/11 KV FARIDPUR,FARIDPUR,HP8500019,19.5,20.5,19.5,21,24,20,19,20.5,19.5,20,21,19.5,20.5,21,21,21.5,18.5,20.5,21,18.5,17.5,13.5,20.5,19,19.5,18,19.5,16.5,19.5,20.5,18.5,16,11,17,13.5,10.5,5.5,16.5,15.5,21,16.5,16,14,15,15.5,18.05555556
PRAYAGRAJ,EDC FATEHPUR,"EDD BINDAKI,FATEHPUR",DEOMAI,SUJAWALPUR,HP8500097,13,10.5,5,15,20.5,20.5,12.5,10.5,12,10.5,11.5,10.5,7.5,4,null,10,4.5,10.5,6,9.5,5.5,6.5,5.5,9,9.5,8,3.5,9.5,7.5,9,3,4,9,4.5,9,3.5,4.5,0,0,0,0.5,0,0,3,8.5,7.431818182
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33/11 KV KASARI MASARI,11 KV O/G VIDHAYAK,HP8500188,24,24,23.5,23.5,24,24,24,24,24,24,22.5,24,24,24,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,23.87777778
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KALYANIDEVI,33/11 KV NEW KHUSRU BAGH (IND),KATJU ROAD,HP8500337,24,24,24,23,24,24,24,24,24,24,24,24,24,24,21.5,24,24,24,null,24,21,23,24,24,24,22.5,23,23.5,23.5,24,24,22,23.5,24,23.5,24,24,23.5,23,21.5,23.5,24,24,24,24,23.57954545
PRAYAGRAJ,EDC KAUSHAMBI,EDD CHAYAL,33/11 KV PURKHAS,MOHAMMADABAD,HP8500402,18,19,16.5,19.5,23.5,17.5,19,18.5,19,18.5,17,18.5,16.5,18.5,16.5,20,18.5,18.5,19,16,19,22.5,19,20,17.5,19.5,18,17,18,18.5,18,19.5,12,17.5,17.5,20.5,11,16.5,16,14.5,17.5,16,16,18.5,14.5,17.83333333
MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33/11 KV Bina,M.G.R.,HP8500623,24,24,24,24,24,23.5,17.5,24,24,24,24,24,22,24,24,24,20,24,24,24,24,23.5,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,20,24,24,22.5,24,24,24,24,24,23.56666667
MIRZAPUR,EDC-MIRZAPUR,EDD CHUNAR,33/11 KV RAMPUR LATHIYA,RAMPUR LATHIYA,HP8500702,19.5,19.5,20,21.5,24,19,19.5,18,19.5,19.5,20,20.5,20.5,20.5,19.5,21.5,20,19.5,20.5,18.5,17,19,22,21,19.5,20,16.5,19.5,19.5,15.5,17,17,18.5,17,17,16,17,17,14.5,11.5,16,16.5,12.5,14.5,13.5,18.35555556
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV MEHNAGAR,CHAKWARA,HP9000057,20,21.5,20,21,24,19,17,20,18,21,null,18,18,19,19.5,21,20,17.5,20.5,19.5,19.5,19,18.5,19.5,19,19.5,19,18.5,11,20.5,19,17.5,16.5,17,null,15,12.5,9,6.5,14.5,15.5,14,11,14,14,17.54651163
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV MEHNAGAR,KHARAGPUR PTW,HP9000058,0,0,0,0,0,0,0,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0
AZAMGARH,EDC-MAU,"EDD KOPAGANJ,MAU",33/11 KV Karahan,North,HP9000408,19,21,18.5,21,24,19.5,20.5,null,19.5,21.5,null,18,19.5,21,22.5,21,19.5,19,20,20.5,19.5,18,22,19,19.5,19.5,19,18.5,13.5,19,17.5,19,18,17,15,14,9,15.5,15,16.5,15.5,14.5,15.5,15.5,16.5,18.30232558
VARANASI,EDC-JAUNPUR,EDD JAUNPUR NAGAR,33/11 KV JAUNPUR(HUSAINABAD),TOWN-3,HP9000641,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22.5,23.5,24,22.5,18,24,23.5,24,24,24,22.5,24,23,22.5,23.5,23.5,24,22.5,23.5,23.5,24,24,24,23.5,24,24,24,22.5,23.56666667
VARANASI,EDC-CHANDAULI,EDD CHANDAULI,33/11 KV YOGESHWAR NATH,SIKARGANJ,HP9000962,23,20.5,19.5,20.5,24,19.5,19.5,23,19.5,21.5,21.5,22,21.5,21,20,22,19.5,19.5,21.5,14,16,20.5,21.5,18,20.5,20,19.5,19.5,19,17,19.5,20,18,17,null,15,18.5,16,15.5,16,16,15.5,14.5,14.5,15,18.98863636
VARANASI,EUDC I VARANASI,"EUDD MADHAULI, VARANASI",33/11 KV BHIKHARIPUR,JAL SANSTHAN,SC10293104,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0.5,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.155555556
VARANASI,EDC VARANASI,"EDD BARAIPUR, VARANASI",33/11 KV KARSANA,CHHITAUNI PUM CANAL,SC10349748,0,2,4.5,0,0,0,10,null,5.5,2.5,null,0,3,0,0,0,0,0,null,1.5,0,null,0,null,null,0,null,0,0,0,0.5,0,0,0,0,null,0,1,0,0,0,0,0,0,0,0.824324324
VARANASI,EDC II JAUNPUR,EDD MACHHLISHAHAR,MACHHALISHAHAR RURAL,KANHAPUR,SC10349844,22.5,20,19,21.5,24,17,19.5,22.5,19,21.5,21.5,21,22,22,22.5,21.5,19.5,20,20.5,19,18,20,21.5,20,20,18,19.5,19.5,19.5,21,19.5,19,18,18,17,null,17,21.5,19,21,21,16,15,17.5,15,19.71590909
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV BHAWANIPUR,BHAWANIPUR,SC10292884,0,0,0,0,0,0,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KARELABAGH,33/11 KV KALYANI DEVI,ATALA-2,HP8500156,8,24,21.5,24,24,23.5,24,23.5,24,23,24,24,24,24,23.5,24,24,null,23.5,24,23.5,23.5,24,23.5,24,23.5,24,24,24,24,24,24,19,24,23.5,23.5,24,15.5,24,22,24,24,23.5,24,24,23.07954545
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD MEOHALL,33/11 KV BAILEY ROAD,11 KV O/G ABKARI,HP8500376,24,24,23.5,23.5,24,24,24,23.5,23,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,20,19,20.5,22,23.5,23.5,24,24,24,24,22,22,24,24,24,24,24,23.5
MIRZAPUR,EDC-MIRZAPUR,EDD CHUNAR,33/11 KV AHRAURA,DBL,HP8500697,24,24,23.5,24,24,24,24,24,24,24,21.5,20.5,24,24,24,24,24,24,24,23.5,24,20,24,24,23.5,24,24,22.5,18.5,24,21.5,24,24,24,23,24,24,24,24,24,24,22,24,23.5,24,23.45555556
MIRZAPUR,EDC-MIRZAPUR,"EDD KACHCHAWA,MIRZAPUR",33/11 KV MADIHAN,KOTWA,HP8500723,19,17.5,19,20.5,24,19,20,20.5,20,20.5,21,20,22,20.5,21,21.5,19.5,21,20.5,19,18.5,21.5,19,20,13,19.5,19.5,18.5,19.5,21.5,17.5,20.5,15,20.5,17.5,14,20,18.5,20,21,19.5,17.5,14,16.5,15.5,19.2
MIRZAPUR,EDC BHADOHI,EDD I BHADOHI,33/11 KV FATTUPUR(BHADOHI),BHADOHI TOWN,HP8500782,23,22,22.5,23.5,24,22.5,22,24,22.5,24,24,24,24,22.5,22.5,23,22.5,22.5,22.5,22.5,21.5,24,23,22.5,22.5,22.5,22.5,21.5,22.5,23,22.5,21.5,21,22.5,20,22.5,19,23,22.5,22,22.5,23,22,22.5,22,22.53333333
VARANASI,EDC II JAUNPUR,"EDD BADALAPUR,JAUNPUR",33/11 KV SAHODARPUR,TEZIBAZAR,HP9000190,23,19,19,20.5,24,18.5,19.5,23,19.5,24,24,22.5,24,19.5,18.5,21,19.5,19,20,19,16.5,22.5,22,20.5,19.5,19.5,17.5,19,17.5,17.5,18,17.5,11,15.5,null,16.5,14,17.5,17.5,22,18,15,11.5,16,15,18.95454545
VARANASI,EDC-JAUNPUR,EDD JAUNPUR NAGAR,33/11 KV NAI GANJ,TOWN-2,HP9000595,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,23.5,23,22,24,24,20,22.5,24,24,24,24,24,23.5,20.5,23.5,23.5,23,23,null,23.5,21.5,24,24,24,24,24,24,24,24,23.55681818
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KARELABAGH,33/11 KV KARELA BAGH,JAMUNA VALLEY,SC10292838,24,24,23.5,23.5,16.5,24,24,24,24,24,24,24,24,24,24,24,23.5,24,null,24,23,24,24,24,24,24,24,23.5,24,24,24,24,19,24,23.5,24,24,24,23.5,23,24,24,24,24,24,23.60227273
VARANASI,EDC GHAZIPUR,"EDD JANGIPUR,GHAZIPUR",33/11 KV PRITHVIPUR,Durkhusi,SC10293249,19.5,19,19.5,19,24,19,19.5,21.5,null,21,null,21,21,19,19,18.5,19,17.5,18.5,18,18.5,15,17.5,19.5,19.5,19,22,14,15,18,17,17.5,17.5,15.5,14.5,15.5,15,null,15.5,17.5,15.5,17,16.5,15,16.5,18.03571429
PRAYAGRAJ,EDC II PRAYAGRAJ,"EDD GANGAPAR,PRAYAGRAJ",33/11 KV THANAPUR,CHIRAUDA,SC10349504,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17.5,18,14.5,20.5,22,21,null,null,null,null,null,null,18.91666667
PRAYAGRAJ,EDC FATEHPUR,"EDD BINDAKI,FATEHPUR",33/11 KV JAHANABAD,AMBEDKAR NAGAR,HP8500819,22.5,null,22,21,24,22.5,22.5,22,22.5,22.5,22.5,22.5,23,22.5,23,23.5,23,null,null,23,22.5,24,23.5,22.5,23,23,22.5,null,null,23.5,22.5,22,21.5,22.5,null,null,null,null,21.5,23.5,23.5,null,22,23.5,null,22.69117647
PRAYAGRAJ,EDC I PRAYAGRAJ,"EDD YAMUNAPAR,PRAYAGRAJ",33/11 KV BARA,HARDI,SC10349531,24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
